"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3943204781","224952","9943","10 Jun 2018 04:00","29:56","1796","17-35","17,35","Dire","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3942260942","224785","9943","09 Jun 2018 04:17","42:08","2528","50-27","50,27","Radiant","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3942119450","224785","9943","09 Jun 2018 03:06","35:48","2148","15-35","15,35","Dire","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle"
"3941931884","224738","9943","09 Jun 2018 01:27","34:57","2097","41-11","41,11","Radiant","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne"
"3941740660","224738","9943","09 Jun 2018 11:27","1:23:43","5023","58-33","58,33","Radiant","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"3941608894","224738","9943","09 Jun 2018 10:07","46:57","2817","25-35","25,35","Dire","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"3941422211","224715","9943","09 Jun 2018 08:06","41:29","2489","33-43","33,43","Dire","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne"
"3941338408","224715","9943","09 Jun 2018 07:05","32:11","1931","20-2","20,2","Radiant","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi"
"3941208711","224692","9943","09 Jun 2018 05:13","46:58","2818","26-37","26,37","Dire","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER"
"3941137339","224692","9943","09 Jun 2018 04:00","46:37","2797","32-19","32,19","Radiant","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC"
"3937936341","224431","9943","07 Jun 2018 12:08","40:42","2442","26-34","26,34","Dire","Newbee","Faith, kpii, Moogy, kaka, Sccc","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi"
